area,bathroom,bedroom,lat,long,school,mrt,age,type_condo,type_hdb,price_sqft
1270,2,3,1.345383,103.7460465,3,0,25,0,1,429.92
1270,2,3,1.373571,103.8515535,2,1,40,0,1,533.86
990,2,2,1.31535,103.770855,2,0,43,0,1,459.6
1400,2,3,1.448271,103.813344,4,0,21,0,1,371.43
905,2,3,1.372392,103.8890385,6,1,35,0,1,386.74
1001,2,3,1.369962,103.947453,0,1,6,0,1,579.42
1184,2,3,1.34995,103.75199,3,1,18,0,1,540.54
710,2,2,1.32047,103.86231,2,1,49,0,1,457.75
721,2,2,1.329048,103.9373235,6,0,43,0,1,386.96
1194,2,3,1.351368,103.717503,3,0,36,0,1,268.01
1022,2,3,1.35873,103.830642,1,0,32,0,1,508.81
1206,2,3,1.385415,103.892985,7,1,6,0,1,514.1
721,2,2,1.321407,103.767102,2,0,42,0,1,454.92
1205,2,3,1.40246,103.90686,9,0,5,0,1,539.42
1743,3,5,1.429893,103.774644,2,1,32,0,1,372.92
936,2,3,1.336158,103.9214925,1,1,6,0,1,705.13
1001,2,3,1.4049,103.90272,7,1,6,0,1,469.53
1312,2,3,1.346004,103.9592025,2,1,32,0,1,434.45
991,2,3,1.448118,103.8019455,4,0,6,0,1,423.81
1292,2,3,1.305522,103.9130235,3,0,45,0,1,617.65
1291,2,3,1.277766,103.8217005,3,0,20,0,1,542.22
1119,2,3,1.380519,103.887954,6,0,29,0,1,352.99
1270,2,3,1.36813,103.7496,2,0,17,0,1,511.81
678,2,2,1.291131,103.826763,2,0,48,0,1,530.97
1291,2,3,1.33448,103.85108,4,1,34,0,1,548.41
947,2,3,1.315872,103.871295,0,1,46,0,1,475.18
1679,3,4,1.350783,103.731534,1,0,37,0,1,336.51
1184,2,3,1.40246,103.90686,9,0,17,0,1,380.07
1206,2,3,1.394577,103.8914235,5,0,6,0,1,518.24
1302,2,3,1.357551,103.87314,2,0,36,0,1,513.06
1011,2,2,1.402857,103.900068,6,1,8,0,1,573.69
805,2,2,1.352214,103.9524525,6,0,38,0,1,419.88
818,2,2,1.31238,103.7869695,1,0,45,0,1,464.55
1184,2,3,1.388682,103.8747015,2,0,17,0,1,403.72
1238,2,3,1.394325,103.90347,8,0,22,0,1,353.8
1442,2,4,1.33949,103.70739,3,1,22,0,1,435.51
1302,2,3,1.43621,103.83582,4,0,34,0,1,344.09
1280,2,3,1.33949,103.70739,3,1,23,0,1,382.81
1431,2,3,1.349433,103.939254,3,1,37,0,1,375.96
1453,2,3,1.351593,103.72464,3,0,36,0,1,314.44
1312,2,3,1.345311,103.953186,4,1,33,0,1,445.88
1055,2,3,1.322829,103.9328505,3,1,44,0,1,445.5
1572,2,3,1.37844,103.9383135,2,0,27,0,1,384.86
1184,2,3,1.348632,103.940289,3,1,36,0,1,337.84
720,2,2,1.383813,103.898808,5,0,11,0,1,511.11
1184,2,3,1.281159,103.827267,3,0,19,0,1,717.91
904,2,3,1.35252,103.87036,4,2,36,0,1,575.22
990,2,3,1.407771,103.8995865,4,1,5,0,1,543.43
968,2,3,1.350072,103.852539,2,2,34,0,1,618.69
1323,2,3,1.309707,103.789098,2,2,44,0,1,702.95
1324,2,3,1.348047,103.8507255,3,2,34,0,1,655.59
1625,2,3,1.37916,103.7674395,5,0,34,0,1,400
1335,2,4,1.277397,103.8204675,2,0,22,0,1,539.33
710,1,3,1.325439,103.9262085,2,1,47,0,1,422.54
