Built,area,bathroom,bedroom,price_sqft,Type,latitude,longitude
1995,1270.0,2,3,429.92,HDB,1.345383,103.74604649999999
2004,1066.0,2,2,919.32,Condo,1.386702,103.7436795
2014,926.0,2,2,2699.78,Condo,1.295316,103.827096
2008,668.0,1,1,1871.26,Condo,1.280772,103.8526605
2000,1959.0,4,4,2118.43,Condo,1.313388,103.8273615
1980,1270.0,2,3,533.86,HDB,1.3735709999999999,103.85155350000001
1977,990.0,2,2,459.6,HDB,1.31535,103.77085500000001
2018,549.0,1,1,1438.98,Condo,1.3796238000999999,103.76401461459999
1999,1400.0,2,3,371.43,HDB,1.4482709999999999,103.813344
2007,657.0,1,1,1917.81,Condo,1.275165,103.844538
2017,915.0,2,2,1475.41,Condo,1.32435,103.94502299999999
2017,710.0,1,1,2234.39,Condo,1.277226,103.8536955
1985,905.0,2,3,386.74,HDB,1.372392,103.8890385
2017,646.0,1,1,1532.51,Condo,1.328841,103.869045
2014,1001.0,2,3,579.42,HDB,1.3699620000000001,103.947453
1977,1615.0,3,3,897.83,Condo,1.35025,103.83577
2011,1679.0,3,3,2537.22,Condo,1.301094,103.8305655
2012,2648.0,4,4,2605.74,Condo,1.29213,103.83806700000001
2006,893.0,2,2,823.07,Condo,1.430532,103.785534
2005,1119.0,3,3,1778.37,Condo,1.317276,103.828671
2019,1033.0,2,3,1500.48,Condo,1.32503,103.89049
2002,1184.0,2,3,540.54,HDB,1.34995,103.75199
1971,710.0,2,2,457.75,HDB,1.32047,103.86231
1977,721.0,2,2,386.96,HDB,1.329048,103.9373235
1984,1194.0,2,3,268.01,HDB,1.3513680000000001,103.71750300000001
1988,1022.0,2,3,508.81,HDB,1.35873,103.830642
1985,1495.0,2,2,816.05,Condo,1.369683,103.9713615
2004,1088.0,2,2,1084.56,Condo,1.349127,103.7492055
2006,947.0,2,2,818.37,Condo,1.430613,103.786524
2014,1206.0,2,3,514.1,HDB,1.385415,103.892985
2016,646.0,2,2,1470.59,Condo,1.3617700000000001,103.88696
2014,1076.0,3,3,899.63,Condo,1.40246,103.90686
1978,721.0,2,2,454.92,HDB,1.321407,103.76710200000001
2016,624.0,1,1,1137.82,Condo,1.327284,103.90743
2016,1367.0,4,4,1148.5,Condo,1.377837,103.9027545
