area,bathroom,bedroom,Type,latitude,longitude,school,mrt,age_of_building,bathroom_area,bedroom_area,remaining_area,convenience,distance_from_central,price_sqft
1270.0,2,3,HDB,1.345383,103.7460465,3.0,0.0,25,127.0,476.25,666.75,3.0,10.582454411277146,429.92
1066.0,2,2,Condo,1.386702,103.7436795,3.0,1.0,16,106.60000000000001,266.5,692.9,4.0,13.408198562681056,919.32
926.0,2,2,Condo,1.295316,103.827096,1.0,0.0,6,92.60000000000001,231.5,601.9,1.0,1.0918368671829735,2699.78
668.0,1,1,Condo,1.280772,103.8526605,0.0,3.0,12,33.4,83.5,551.1,3.0,3.4627785831027076,1871.26
1959.0,4,4,Condo,1.313388,103.8273615,1.0,0.0,20,391.8,979.5,587.7,1.0,1.149650114439276,2118.43
1270.0,2,3,HDB,1.373571,103.8515535,2.0,1.0,40,127.0,476.25,666.75,3.0,8.002257882511268,533.86
990.0,2,2,HDB,1.31535,103.770855,2.0,0.0,43,99.0,247.5,643.5,2.0,6.895952317031244,459.6
549.0,1,1,Condo,1.3796238001,103.76401461459999,4.0,1.0,2,27.450000000000003,68.625,452.92499999999995,5.0,11.261421833893193,1438.98
1400.0,2,3,HDB,1.448271,103.813344,4.0,0.0,21,140.0,525.0,735.0,4.0,16.085163461832977,371.43
657.0,1,1,Condo,1.2751649999999999,103.844538,1.0,1.0,13,32.85,82.125,542.025,2.0,3.489279722632337,1917.81
915.0,2,2,Condo,1.32435,103.945023,2.0,1.0,3,91.5,228.75,594.75,3.0,12.802121975981848,1475.41
710.0,1,1,Condo,1.277226,103.8536955,0.0,2.0,3,35.5,88.75,585.75,2.0,3.834908443761396,2234.39
905.0,2,3,HDB,1.372392,103.8890385,6.0,1.0,35,90.5,339.375,475.125,7.0,9.889811447994244,386.74
646.0,1,1,Condo,1.328841,103.869045,2.0,1.0,3,32.300000000000004,80.75,532.95,3.0,4.97473834448826,1532.51
1001.0,2,3,HDB,1.369962,103.947453,0.0,1.0,6,100.10000000000001,375.375,525.525,1.0,14.796151928285568,579.42
1615.0,3,3,Condo,1.35025,103.83577,0.0,1.0,43,242.25000000000003,605.625,767.125,1.0,5.134301654948694,897.83
