,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
0,190 Bukit Batok West Avenue 6,190 Bukit Batok West Avenue 6,1995,1270 sqft,2,3,"S$ 546,000 ",S$ 429.92 psf,99-year Leasehold,HDB Apartment,1.345383,103.7460465
1,Sims Drive,Sims Urban Oasis,99-year Leasehold,409 sqft,1,1,"S$ 720,000 ","S$ 1,760.39 psf",Condominium,New Project: 2020,1.3182613991,103.8793909546
2,57 Choa Chu Kang Loop,The Warren,2004,1066 sqft,2,2,"S$ 980,000 ",S$ 919.32 psf,99-year Leasehold,Condominium,1.386702,103.7436795
3,21 Fernvale Road,High Park Residences,99-year Leasehold,680 sqft,2,2,"S$ 880,000 ","S$ 1,294.12 psf",Condominium,New Project: 2019,1.3964400000000001,103.87525049999999
4,21 Nathan Road,Nathan Suites,2014,926 sqft,2,2,"S$ 2,500,000 ","S$ 2,699.78 psf",Freehold,Condominium,1.295316,103.827096
5,10 Meyappa Chettiar Road,The Poiz Residences,99-year Leasehold,840 sqft,2,3,"S$ 1,550,000 ","S$ 1,845.24 psf",Condominium,New Project: 2020,1.3309212801,103.8676297898
6,Whitley Road,The Whitley Residences,2017,"5716 sqft, 5716 sqft (land)",6,5,"S$ 4,799,999 ",S$ 839.75 psf,Freehold,Semi-Detached House,,
7,27 Moulmein Rise,Neu at Novena,Freehold,646 sqft,2,2,"S$ 1,698,000 ","S$ 2,628.48 psf",Condominium,New Project: 2023,1.319553,103.8460635
8,Upper Changi Road,Brand New INTER-TERRACE House near Spore Expo hall & Changi City Point,2019,"4425 sqft, 1940 sqft (land)",4,4,"S$ 3,600,000 ","S$ 1,855.67 psf",999-year Leasehold,Terraced House,1.33236,103.94614
9,2 Marina Boulevard,The Sail @ Marina Bay,2008,668 sqft,1,1,"S$ 1,250,000 ","S$ 1,871.26 psf",99-year Leasehold,Apartment,1.280772,103.8526605
10,8 Walshe Road,Chelsea Gardens,2000,1959 sqft,4,4,"S$ 4,150,000 ","S$ 2,118.43 psf",Freehold,Condominium,1.313388,103.8273615
11,521 Ang Mo Kio Avenue 5,521 Ang Mo Kio Avenue 5,1980,1270 sqft,2,3,"S$ 678,000 ",S$ 533.86 psf,99-year Leasehold,HDB Apartment,1.373571,103.8515535
12,Paradise Island,Paradise Island,2009,"10200 sqft, 8050 sqft (land)",6,6,"S$ 15,000,000 ","S$ 1,863.35 psf",99-year Leasehold,Detached House,1.2500400333,103.8437700039
13,351 Clementi Avenue 2,351 Clementi Avenue 2,1977,990 sqft,2,2,"S$ 455,000 ",S$ 459.60 psf,99-year Leasehold,HDB Apartment,1.31535,103.770855
14,Jelebu Road,Hillion Residences,2018,549 sqft,1,1,"S$ 790,000 ","S$ 1,438.98 psf",99-year Leasehold,Apartment,1.3796238001,103.7640146146
15,Sennett Avenue,East Coast Hill,1977,"3899 sqft, 3716 sqft (land)",5,5,"S$ 4,600,000 ","S$ 1,237.89 psf",Freehold,Semi-Detached House,1.31707,103.93653
16,Park Villas Green,Park Villas,1998,"2600 sqft, 2263 sqft (land)",5,5,"S$ 1,850,000 ",S$ 817.50 psf,99-year Leasehold,Terraced House,1.3682535909,103.879493771
17,469B Admiralty Drive,469B Admiralty Drive,1999,1400 sqft,2,3,"S$ 520,000 ",S$ 371.43 psf,99-year Leasehold,HDB Apartment,1.448271,103.813344
18,,Nv Residences,2013,1534 sqft,4,4,"S$ 1,450,000 ",S$ 945.24 psf,99-year Leasehold,Condominium,,
19,10 Gopeng Street,Icon,2007,657 sqft,1,1,"S$ 1,260,000 ","S$ 1,917.81 psf",99-year Leasehold,Apartment,1.2751649999999999,103.844538
20,1 Jalan Remaja,Mont Botanik Residence,Freehold,948 sqft,2,3,"S$ 1,572,400 ","S$ 1,658.65 psf",Condominium,New Project: 2023,1.35768,103.76092
21,269 Bedok South Avenue 3,Eco,2017,915 sqft,2,2,"S$ 1,350,000 ","S$ 1,475.41 psf",99-year Leasehold,Condominium,1.32435,103.945023
22,23 Marina Way,Marina One Residences,2017,710 sqft,1,1,"S$ 1,586,415 ","S$ 2,234.39 psf",99-year Leasehold,Condominium,1.277226,103.8536955
23,Seletar Green Walk,Luxus Hills,2012,"3704 sqft, 1614 sqft (land)",6,5,"S$ 3,288,000 ","S$ 2,037.17 psf",999-year Leasehold,Terraced House,1.3801954212,103.8750908059
24,Jalan Angin Laut,Brand New Corner Terrace House near Expo & Simei MRT,2019,"5053 sqft, 2660 sqft (land)",5,5,"S$ 4,200,000 ","S$ 1,578.95 psf",999-year Leasehold,Corner Terrace,,
25,515 Hougang Avenue 10,515 Hougang Avenue 10,1985,905 sqft,2,3,"S$ 350,000 ",S$ 386.74 psf,99-year Leasehold,HDB Apartment,1.372392,103.8890385
26,1 Canberra Walk,Parc Canberra,99-year Leasehold,1184 sqft,3,4,"S$ 1,200,000 ","S$ 1,013.51 psf",Executive Condominium,New Project: 2023,1.4375,103.83022
27,6 Tai Thong Crescent,The Venue Residences And Shoppes,2017,646 sqft,1,1,"S$ 990,000 ","S$ 1,532.51 psf",99-year Leasehold,Apartment,1.328841,103.869045
28,525C Pasir Ris Street 51,525C Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 580,000 ",S$ 579.42 psf,99-year Leasehold,HDB Apartment,1.369962,103.947453
29,Sims Drive,Sims Urban Oasis,99-year Leasehold,624 sqft,1,2,"S$ 999,000 ","S$ 1,600.96 psf",Condominium,New Project: 2020,1.3182613991,103.8793909546
30,93 Farrer Drive,Sommerville Park,1978,4103 sqft,4,4,"S$ 8,880,000 ","S$ 2,164.27 psf",Freehold,Cluster House,1.3133789999999999,103.80771
31,97A Upper Thomson Road,Lakeview Estate,1977,1615 sqft,3,3,"S$ 1,450,000 ",S$ 897.83 psf,99-year Leasehold,Apartment,1.35025,103.83577
32,57 Paterson Road,Paterson Suites,2011,1679 sqft,3,3,"S$ 4,260,000 ","S$ 2,537.22 psf",Freehold,Condominium,1.301094,103.8305655
33,38 Martin Road,Martin No 38,2012,2648 sqft,4,4,"S$ 6,900,000 ","S$ 2,605.74 psf",Freehold,Apartment,1.29213,103.838067
34,8 Sims Drive,Sims Urban Oasis,99-year Leasehold,786 sqft,2,2,"S$ 1,380,000 ","S$ 1,755.73 psf",Condominium,New Project: 2020,1.319535,103.8805425
35,21 Rosewood Drive,Casablanca,2006,893 sqft,2,2,"S$ 735,000 ",S$ 823.07 psf,99-year Leasehold,Condominium,1.430532,103.785534
36,27 Robin Road,Proximo,2005,1119 sqft,3,3,"S$ 1,990,000 ","S$ 1,778.37 psf",Freehold,Apartment,1.3172760000000001,103.828671
37,223 Upper Paya Lebar Road,Botanique @ Bartley,2019,1033 sqft,2,3,"S$ 1,549,999 ","S$ 1,500.48 psf",99-year Leasehold,Condominium,1.32503,103.89049
38,620 Bukit Batok Central,620 Bukit Batok Central,2002,1184 sqft,2,3,"S$ 640,000 ",S$ 540.54 psf,99-year Leasehold,HDB Apartment,1.34995,103.75199
39,986 Upper Serangoon Road,Stars Of Kovan,99-year Leasehold,743 sqft,2,2,"S$ 1,400,000 ","S$ 1,884.25 psf",Condominium,New Project: 2020,1.36177,103.88696
40,Andrews AVENUE,Freehold Corner Semi-D @ Andrews Avenue,2007,"3424 sqft, 3150 sqft (land)",5,5,"S$ 3,490,000 ","S$ 1,107.94 psf",Freehold,Semi-Detached House,1.4577588792,103.8385804182
41,34 Whampoa West,34 Whampoa West,1971,710 sqft,2,2,"S$ 325,000 ",S$ 457.75 psf,99-year Leasehold,HDB Apartment,1.32047,103.86231
42,123 Bedok North Street 2,123 Bedok North Street 2,1977,721 sqft,2,2,"S$ 279,000 ",S$ 386.96 psf,99-year Leasehold,HDB Apartment,1.329048,103.9373235
43,453 Jurong West Street 42,453 Jurong West Street 42,1984,1194 sqft,2,3,"S$ 320,000 ",S$ 268.01 psf,99-year Leasehold,HDB Apartment,1.351368,103.717503
44,455 Sin Ming Avenue,455 Sin Ming Avenue,1988,1022 sqft,2,3,"S$ 520,000 ",S$ 508.81 psf,99-year Leasehold,HDB Apartment,1.35873,103.830642
45,222 Loyang Avenue,Loyang Valley,1985,1495 sqft,2,2,"S$ 1,220,000 ",S$ 816.05 psf,99-year Leasehold,Condominium,1.369683,103.9713615
46,Jln Dermawan,Brand new majestic bungalow,2021,"9300 sqft, 5075 sqft (land)",7,7,"S$ 7,880,000 ","S$ 1,552.71 psf",Freehold,Detached House,,
47,9 Bukit Batok Central Link,The Jade,2004,1088 sqft,2,2,"S$ 1,179,999 ","S$ 1,084.56 psf",99-year Leasehold,Condominium,1.349127,103.7492055
48,25 Rosewood Drive,Casablanca,2006,947 sqft,2,2,"S$ 775,000 ",S$ 818.37 psf,99-year Leasehold,Condominium,1.430613,103.786524
49,279B Sengkang East Avenue,279B Sengkang East Avenue,2014,1206 sqft,2,3,"S$ 620,000 ",S$ 514.10 psf,99-year Leasehold,HDB Apartment,1.385415,103.892985
50,Seletar Green Walk,Luxus Hills,2012,"3703 sqft, 1644 sqft (land)",5,5,"S$ 3,308,000 ","S$ 2,012.17 psf",999-year Leasehold,Terraced House,1.3801954212,103.8750908059
51,1189 Upper Serangoon Road,Midtown Residences,2016,646 sqft,2,2,"S$ 950,000 ","S$ 1,470.59 psf",99-year Leasehold,Condominium,1.36177,103.88696
52,98 Punggol Drive,Riverparc Residence,2014,1076 sqft,3,3,"S$ 968,000 ",S$ 899.63 psf,99-year Leasehold,Executive Condominium,1.40246,103.90686
53,314 Shunfu Road,Jadescape,99-year Leasehold,1141 sqft,3,3,"S$ 1,800,000 ","S$ 1,577.56 psf",Condominium,New Project: 2023,1.351764,103.8382515
54,307 Clementi Avenue 4,307 Clementi Avenue 4,1978,721 sqft,2,2,"S$ 328,000 ",S$ 454.92 psf,99-year Leasehold,HDB Apartment,1.321407,103.767102
55,210 Jalan Eunos,Euhabitat,2016,624 sqft,1,1,"S$ 710,000 ","S$ 1,137.82 psf",99-year Leasehold,Condominium,1.327284,103.90743
56,822 Sims Avenue,Parc Esta,99-year Leasehold,1475 sqft,3,5,"S$ 2,442,000 ","S$ 1,655.59 psf",Condominium,New Project: 2022,1.3007099267,103.8547500511
57,6 Upper Serangoon Crescent,Riversails,2016,1367 sqft,4,4,"S$ 1,570,000 ","S$ 1,148.50 psf",99-year Leasehold,Condominium,1.377837,103.9027545
58,8 Bassein Road,8 Bassein,2015,431 sqft,1,1,"S$ 845,000 ","S$ 1,960.56 psf",Freehold,Condominium,1.323504,103.8479985
59,663C Punggol Drive,663C Punggol Drive,2015,1205 sqft,2,3,"S$ 650,000 ",S$ 539.42 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
60,83 Flora Drive,Hedges Park Condo,2015,484 sqft,1,1,"S$ 550,000 ","S$ 1,136.36 psf",99-year Leasehold,Condominium,1.355157,103.9678425
61,Tampines Avenue 10,The Alps Residences,99-year Leasehold,946 sqft,2,3,"S$ 1,082,000 ","S$ 1,143.76 psf",Condominium,New Project: 2019,1.3699853233,103.9305353423
62,115 Tampines Road,Trilive,2018,624 sqft,2,2,"S$ 1,048,000 ","S$ 1,679.49 psf",Freehold,Condominium,1.362285,103.8913245
63,306 Woodlands Street 31,306 Woodlands Street 31,1988,1743 sqft,3,5,"S$ 649,999 ",S$ 372.92 psf,99-year Leasehold,HDB Apartment,1.4298929999999999,103.774644
64,748C Bedok Reservoir Crescent,748C Bedok Reservoir Crescent,2014,936 sqft,2,3,"S$ 660,000 ",S$ 705.13 psf,99-year Leasehold,HDB Apartment,1.336158,103.9214925
65,123 Jalan Lim Tai See,Regent Villas,1993,"3500 sqft, 2813 sqft (land)",5,6,"S$ 3,480,000 ","S$ 1,237.11 psf",99-year Leasehold,Corner Terrace,,
66,78 Upper Serangoon View,Kingsford Waterbay,2018,850 sqft,2,3,"S$ 1,070,000 ","S$ 1,258.82 psf",99-year Leasehold,Apartment,1.375416,103.9041135
67,8 Bassein Road,8 Bassein,2015,431 sqft,1,1,"S$ 850,000 ","S$ 1,972.16 psf",Freehold,Condominium,1.323504,103.8479985
68,51 Hume Avenue,Parc Palais,2000,1614 sqft,4,4,"S$ 1,700,000 ","S$ 1,053.28 psf",Freehold,Condominium,1.35684,103.765428
69,18 Holland Hill,Parvis,2012,1701 sqft,3,3,"S$ 3,599,000 ","S$ 2,115.81 psf",Freehold,Condominium,1.3092899961,103.8020800084
70,2 Pasir Ris Link,Ripple Bay,2016,786 sqft,2,2,"S$ 800,000 ","S$ 1,017.81 psf",99-year Leasehold,Condominium,1.377279,103.960998
71,2 Indus Road,Emerald Park,1993,926 sqft,2,2,"S$ 1,380,000 ","S$ 1,490.28 psf",99-year Leasehold,Condominium,1.2894839999999999,103.830084
72,22 Andrews Avenue,Straits Gardens,2005,"3424 sqft, 3152 sqft (land)",5,5,"S$ 3,300,000 ","S$ 1,046.95 psf",99-year Leasehold,Semi-Detached House,1.457811,103.8381165
