name,lat ,lng
Admiralty Primary School,1.443335,103.800395
Ahmad Ibrahim Primary School,1.434765,103.83274
Ai Tong School,1.362409,103.83269
Alexandra Primary School,1.292369,103.82353
Anchor Green Primary School,1.391247,103.887401
Anderson Primary School,1.385014,103.841257
Ang Mo Kio Primary School,1.369647,103.839783
Anglo-Chinese School(Junior),1.309249,103.841746
Anglo-Chinese School(Primary),1.319076,103.835852
Angsana Primary School,1.349152,103.95172
Beacon Primary School,1.384439,103.773791
Bedok Green Primary School,1.329067,103.936958
Bendermeer Primary School,1.323394,103.864995
Blangah Rise Primary School,1.276839,103.808761
Boon Lay Garden Primary School,1.344559,103.713108
Bukit Panjang Primary School,1.374969,103.769784
Bukit Timah Primary School,1.338286,103.766854
Bukit View Primary School,1.346793,103.753351
CHIJ(Katong) Primary,1.30744,103.910912
CHIJ(Kellock),1.276134,103.828188
CHIJ Our Lady Queen of Peace,1.367514,103.767369
CHIJ Our Lady of Good Counsel,1.35811,103.864346
CHIJ Our Lady of The Nativity,1.374776,103.8975
CHIJ Primary(Toa Payoh),1.334089,103.842225
CHIJ St. Nicholas Girls' School(Primary),1.375361,103.834084
Canberra Primary School,1.452155,103.815626
Canossa Catholic Primary School,1.327844,103.882059
Cantonment Primary School,1.277022,103.839745
Casuarina Primary School,1.37353,103.957235
Catholic High School(Primary),1.355377,103.845166
Cedar Primary School,1.336986,103.875373
Changkat Primary School,1.341616,103.952039
Chongfu School,1.439677,103.840057
Chongzheng Primary School,1.352194,103.951118
Chua Chu Kang Primary School,1.379321,103.742226
Clementi Primary School,1.316305,103.76363
Compassvale Primary School,1.395889,103.898008
Concord Primary School,1.381505,103.736295
Corporation Primary School,1.351793,103.708175
Damai Primary School,1.336745,103.921062
Dazhong Primary School,1.360278,103.748058
De La Salle School,1.396272,103.743501
East Spring Primary School,1.354698,103.961884
Edgefield Primary School,1.400523,103.907693
Elias Park Primary School,1.401638,103.907435
Endeavour Primary School,1.455508,103.817178
Eunos Primary School,1.325424,103.905548
Evergreen primary School,1.445283,103.79684
Fairfield methodist School(Primary),1.300949,103.787079
Farrer Park Primary School,1.31356,103.85096
Fengshan Primary school,1.330396,103.931848
Fern Green Primary School,1.398647,103.880035
Fernvale Primary School,1.391149,103.874134
First Toa Payoh Primary School,1.34126,103.855651
Frontier Primary school,1.338044,103.699774
Fuchun Primary School,1.431808,103.778331
Fuhua Primary School,1.336814,103.736512
Gan Eng Seng Primary School,1.286041,103.815262
Geylang methodist school(primary),1.318517,103.883849
Gongshang Primary school,1.357422,103.949188
Greendale Primary School,1.396698,103.912687
Greenridge Primary School,1.385938,103.767909
Greenwood Primary School,1.440118,103.804609
Guangyang Primary School,1.346144,103.849315
Haig Girls' School,1.312146,103.902698
Henry Park Primary School,1.317072,103.784136
Holy Innocents' Primary School,1.366852,103.893711
Hong Wen School,1.322013,103.85763
Horizon Primary School,1.400075,103.91313
Hougang Primary School,1.377624,103.880898
Huamin Primary School,1.427208,103.84427
Innova Primary School,1.429759,103.790445
Jiemin Primary School,1.427928,103.830519
Jing Shang Primary School,1.372637,103.851681
Junyuan Primary School,1.348198,103.939992
Jurong Primary School,1.348643,103.732429
Jurong West Primary School,1.339331,103.698851
Juying Primary School,1.339061,103.688295
Keming Primary School,1.345715,103.756245
Kheng Cheng School,1.337945,103.847764
kong Hwa School,1.311377,103.888167
Kranji Primary School,1.393839,103.747793
Kuo Chuan Presbyterian Primary School,1.349684,103.855263
Lakeside Primary School,1.338741,103.718126
Lianhua Primary School,1.353886,103.754414
Maha Bodhi School,1.328677,103.90152
Maris Stella High School(Primary Section),1.34294,103.878594
Marsiling Primary School,1.434418,103.773302
Marymount Convent School,1.340989,103.829959
Mayflower Primary School,1.376513,103.835798
Mee Toh School,1.395052,103.908923
Meridian Primary School,1.376279,103.93506
Methodist Girls' School (Primary),1.333378,103.783151
